Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
285,Mit jelent a képen látható tábla?,"A hajóút eltávolodik a parttól, a hajóknak a táblában feltüntetett távolságot (5 métert) kell tartaniuk!",A táblában feltüntetett sebességet (5 km/óra) tilos túllépni!,Tilos a veszteglés a táblától mért (5 méter) szélességben!,teszt-3373.jpg,2
286,Melyik jelzéssel korlátozzák a hajók sebességét?,1.,2.,3.,xxx-0220.jpg,2
287,Melyik tábla jelent hangjeladási kötelezettséget?,1.,2.,3.,xxx-0226.jpg,2
288,Melyik tábla jelent fokozott elõvigyázatosságot?,1.,2.,3.,xxx-0226.jpg,1
289,Mit jelent a tábla?,"A mellékágba behajózni vagy azt keresztezni csak abban az esetben szabad, ha az ott haladó hajókat nem kényszeríti sebességük vagy útirányuk megváltoztatására!","Az elért út azon víziút mellékvíziútjának tekintendõ, amelyen a hajó halad!","A fõágba kihajózni vagy azt keresztezni csak abban az esetben szabad, ha a fõágban haladó hajókat nem kényszeríti sebességük vagy útirányuk megváltoztatására!",teszt-3377.jpg,3
290,Mit jelent a tábla?,"A mellékágba behajózni vagy azt keresztezni csak abban az esetben szabad, ha az ott haladó hajókat nem kényszeríti sebességük vagy útirányuk megváltoztatására!","Az elért út azon víziút mellékvíziútjának tekintendõ, amelyen a hajó halad!","A fõágba kihajózni vagy azt keresztezni csak abban az esetben szabad, ha a fõágban haladó hajókat nem kényszeríti sebességük vagy útirányuk megváltoztatására!",xxx-0231.jpg,3
291,"Hogyan jelzik a fõágban haladó hajónak azt, hogy szükség esetén meg kell változtatnia sebességét vagy útirányát, hogy utat engedjen a kikötõbõl vagy a mellékvíziútból kihajózó hajónak?",Két villogó fehér fénnyel egymás mellett.,Függõlegesen elhelyezett két villogó sárga fénnyel.,Függõlegesen elhelyezett két állandó sárga fénnyel.,teszt-3379.jpg,2
292,Mit jelent a tábla?,"Figyelem, hajózásra vonatkozó információk a rádiótelefonon!",Rádiótelefon használati tilalom!,Kötelezõ rádiótelefon-kapcsolatba lépni!,xxx-0234.jpg,3
293,Mit jelent a tábla?,A hajó legfeljebb a táblában km/h-ban feltüntetett sebességgel haladhat!,Rádiótelefon használati tilalom a táblán feltüntetett csatornán!,Kötelezõ rádiótelefon-kapcsolatba lépni a jelzésen feltüntetett csatornán!,xxx-0235.jpg,3
294,Völgymenetben a Rákóczi híd felé hajózik. Mit jelölnek az 1-es számmal jelzett táblák? Az 1-es táblákkal jelzett hídnyílásokban,történõ áthajózásnál a fokozott elõvigyázat!,tilos az áthaladás!,a vízmélység korlátozott!,teszt-3381.jpg,3
295,Melyik tábla jelzi a korlátozott vízmélységet?,1.,2.,3.,xxx-0240.jpg,1
296,Melyik tábla jelzi a korlátozott vízmélységet?,1.,2.,3.,xxx-0241.jpg,3
297,A Csongrádi pontonhíd felé hajózik. Mit jelent az 1-es számú tábla?,Fokozott elõvigyázat!,Vízfelszín fölé nyúló akadály!,A vízfelszín feletti szabad magasság korlátozott!,teszt-3383.jpg,3
298,Melyik tábla jelzi a vízszint feletti szabad magasság korlátozottságát?,1.,2.,3.,xxx-0246.jpg,3
299,Mit jelent az 1-es számú tábla?,"Figyelem, mindkét parton akadály található!",Az átjáró- vagy hajóútszélesség korlátozott!,"Figyelem, erõs oldalirányú áramlás várható!",teszt-3384.jpg,2
300,Melyik tábla jelzi az átjáró- vagy hajóútszélesség korlátozottságát?,1.,2.,3.,xxx-0253.jpg,3
301,Mit jelent az 1-es számú tábla?,"Hajózási korlátozások, tudakozódjék!","Köteles megállni, hajózási zárlat!",Fokozott elõvigyázat!,teszt-3386.jpg,1
302,"Melyik tábla jelzi a hajózási korlátozásokra, tudakozódásra vonatkozó figyelemfelhívást?",1.,2.,3.,xxx-0257.jpg,2
303,Mit jelent a tábla?,A menetirány szerinti bal parttól számítva a hajóút mélysége a jelzésen feltüntetett érték deciméterben kifejezve!,A menetirány szerinti bal parttól a jelzésen méterben feltüntetett szélességen belül hajózási akadály!,"A hajóút eltávolodik a menetirány szerinti bal parttól, a jelzésen feltüntetett szám mutatja méterben azt a jelzéstõl mért távolságot, amelyet a hajóknak tartaniuk kell!",xxx-0258.jpg,3
304,Mit jelent a parton látható tábla?,"Hajózási korlátozások, tudakozódjék!",A hajóút 40 m-re eltávolodik a menetirány szerinti jobb parttól!,A menetirány szerinti jobb parttól számított 40 méter szélességben tilos vesztegelni!,teszt-2593.jpg,2
305,Mit jelent a parton látható tábla?,A hajóút 40 m-re eltávolodik a menetirány szerinti bal parttól!,A menetirány szerinti bal parttól számított 40 méter szélességben tilos vesztegelni!,"Hajózási korlátozások, tudakozódjék!",teszt-2594.jpg,1
306,"Válassza ki azt a táblát, amelyik a vízisízést tiltja!",1.,2.,3.,xxx-0265.jpg,2
307,"Válassza ki azt a táblát, amelyik a vitorlás hajóval való közlekedés tiltja?",1.,2.,3.,xxx-0265.jpg,1
308,"Válassza ki azt a táblát, amelyik tilt mindenféle elõzést!",1.,2.,3.,xxx-0266.jpg,3
309,"Válassza ki azt a táblát, amelyik kötelékek egymás közötti elõzését tiltja!",1.,2.,3.,xxx-0267.jpg,1
310,"Válassza ki azt a táblát, amelyik kötelezõ haladási irányt jelez?",1.,2.,3.,xxx-0269.jpg,2
311,"Válassza ki azt a táblát, amelyik kötelékek egymás közötti találkozását és elõzését tiltja!",1.,2.,3.,xxx-0269.jpg,3
312,"Válassza ki azt a jelzést, amelyik a vízfelszín feletti magasság korlátozását jelzi!",1.,2.,3.,xxx-0273.jpg,2
313,"Mit jelent a sárga rombusz alakú tábla, ha azt hídon vagy duzzasztómûvön látja?",A víziút tengelye.,Mindkét irányban ajánlott átjáró!,"Ajánlott átjáró, amely a jelzett oldal felõl igénybe vehetõ, az ellenkezõ irányból az áthaladás tilos!",teszt-0208.jpg,2
314,"Mit jelent a sárga fény hídon, duzzasztómûvön észlelve éjszaka?",Mindkét irányban ajánlott átjáró!,A víziút tengelye.,"Ajánlott átjáró csak a megadott irányban, az ellenkezõ irányban az áthaladás tilos!",teszt-0209.jpg,1
315,Mit jelent a hídon látható 1-es számú tábla?,"Az ajánlott, egy irányból hajózható átjáró (hídnyílást) jelöli.","Az ajánlott, mindkét irányból hajózható átjárót (hídnyílást) jelöli.",A hídnyílás magasság korlátozását jelöli.,teszt-3387.jpg,2
316,"Mit jelent a két sárga rombusz alakú tábla, ha azt hídon vagy duzzasztómûvön látja?",Ajánlott átjáró csak a megadott irányban (az ellenkezõ irányban az áthaladás tilos)!,A víziút tengelyét jelölik.,Mindkét irányból használható átjáró!,teszt-0210.jpg,1
317,"Mit jelent a két sárga fény éjszaka hídon, duzzasztómûvön észlelve?","Kétnyílásos átjáró, amely csak a megadott irányból vehetõ igénybe!",Mindkét irányból ajánlott átjáró!,Ajánlott átjáró csak a megadott irányban (az ellenkezõ irányban az áthaladás tilos)!,teszt-3389.jpg,3
318,Mit jelent a hídon látható két rombusz alakú tábla?,A jelzett területen belül köteles maradni hídnyíláson való áthaladásnál!,Ajánlatos a jelzett területen maradni hídnyíláson alatt való áthaladásnál!,A jelzett területen biztosított az elõírt szabad magasság.,teszt-3390.jpg,2
319,"Mit jelent a két zöld fény éjszaka hídon, duzzasztómûvön észlelve?",A hídpilléreket jelzõ éjszakai fények.,A jelzett területen belül köteles maradni!,Ajánlott a jelzett területen maradni!,xxx-0296.jpg,3
320,Mit jelölnek a hídon látható 2-es számú táblák? A 2-es számú táblák,"azt a szélességet jelölik, amelyen belül ajánlott a hídnyílás alatt történõ áthajózás!","azt a szélességet jelölik, amelyen túl tilos a hídnyílást az áthajózás során igénybe venni!",a hídnyílás alatti áthajózás során a hajóút jobb és bal szélét jelölik.,teszt-3392.jpg,2
321,Mit jelent a tábla?,Köteles a nyíllal jelzett irányban haladni!,Ajánlatos a nyíllal jelzett irányban haladni!,"Figyelem, hajózási információ a jelzett irányban!",xxx-0304.jpg,2
322,"Mit jelet az a fényjelzés, amely egy állandó és egy villogó fehér fénybõl áll?",Ajánlatos az állandó fénytõl a villogó fény irányába haladni!,Ajánlatos az villogó fénytõl az állandó fény irányába haladni!,Köteles az állandó fénytõl a villogó fény irányába haladni!,xxx-0305.jpg,1
323,Mit jelent a tábla?,"Bal parti irányjel, a hajóút helyét jelzi a bal part közelében.",Az áthaladás engedélyezett!,A tábla hajózható mellékágat jelöl.,xxx-0313.jpg,2
324,Mit jelent az egy vagy a két egymás mellett elhelyezett állandó zöld fény?,Az állandó zöld fény vagy fények hajózható mellékágat jelölnek.,Az áthaladás engedélyezett!,A hajóút tengelyét jelzik hídnyíláson elhelyezve.,teszt-2595.jpg,2
325,"Mit jelent az ábrán látható egy, illetve két zöld lobogó felmutatása?",Ezek nem hajózási jelzések!,Kishajónak nem tekinthetõ hajók találkozására javasolt oldalának jelzése.,Az áthaladás engedélyezett!,teszt-0221.jpg,3
326,Mit jelent a tábla?,500 méteren belül a hajó radar berendezését interferencia veszélye miatt kapcsolja ki!,Nyomvonalas létesítmény keresztezi a víziutat 500 méterre!,Légvezeték átfeszítés 500 méterre!,teszt-0238.jpg,3
327,Egy zsilip felé hajózva a képen látható jelzéseket látja. Mit jelez az 1-es számú tábla?,A duzzasztómûvön és a zsilipen átvezetõ hidat jelzi.,A duzzasztómûvet jelzi.,"Azt jelzi, hogy a duzzasztómû uszadék fogóval van felszerelve.",teszt-0148.jpg,2
328,Mit jelent a parton látható tábla?,Légpárnás hajó átkelõhelye 300 méterre!,Szabadon közlekedõ komp 300 méterre!,Hajóállomás 300 méterre!,teszt-0244.jpg,2
329,Melyik táblával jelzik a nem szabadon közlekedõ kompot?,1.,2.,3.,teszt-0236.jpg,2
330,Mit jelent a tábla?,"Veszteglõhely személyzettel rendelkezõ hajók részére, a víziút jelzett oldalán.","Vesztegelni szabad (horgonyon vagy parthoz kikötve), a víziút jelzett oldalán.","Hajóállomás, a víziút jelzett oldalán.",teszt-0246.jpg,2
331,Mi a két tábla jelentése? A víziút táblákkal jelölt részén,a jelzésektõl számított 60 méter széles vízterületen túl csak a horgonyzás megengedett.,a jelzésektõl számított 60 méter széles vízterületen a veszteglés bármilyen formája megengedett.,a jelzésektõl számított 60 méter hosszúságú vízterületen a veszteglés bármilyen formája megengedett.,teszt-0250.jpg,2
332,Mi a két tábla jelentése? A víziút táblákkal jelölt részén,a jelzéstõl mért 30 és 60 méter közötti vízterületen túl a veszteglés bármilyen formája megengedett.,a jelzéstõl mért 30 és 60 méter közötti vízterületen vesztegelni szabad.,… a jelzéstõl mért 30 és 60 méter közötti vízterületen a veszteglés  bármilyen formája (parthoz kikötve vagy horgonyon) megengedett.,teszt-0260.jpg,2
333,Mi a két tábla jelentése? A víziút táblákkal jelölt részén,"kijelölt veszteglõhely legfeljebb 4 hajó számára, a veszélyes árut szállító hajók kivételével.",az egymás mellé állított hajók számában meghatározott szélességû veszteglõhelyen a veszteglés bármilyen formája (horgonyon vagy parthoz kikötve) megengedett.,a táblán feltüntetett veszélyességi fokozatba sorolt árut szállító hajók veszteglésének bármilyen formája (horgonyon vagy parthoz kikötve) megengedett.,teszt-0261.jpg,2
334,Mi a táblák jelentése? A víziút táblákkal jelölt részén,megengedett az ereszkedõ hajózás.,"megengedett a horgonyzás, illetve horgony, kötél vagy lánc vonszolása.",csak kétkapás horgonyok használata megengedett.,teszt-0302.jpg,2
335,Mi a táblák jelentése? A víziút táblákkal jelölt részén,jármûvek be- és kirakodása megengedett.,megengedett a parthoz való kikötés.,a veszteglés bármilyen formája megengedett.,teszt-0304.jpg,2
336,Mi a táblák jelentése? A víziút táblákkal jelölt részén,jármûvek be- és kirakodására kijelölt rakpartszakasz.,"fokozott vigyázat, a rakpart mentén közúti jármû parkoló!",jármûvek be- és kirakodására épített rakodó berendezés.,teszt-0306.jpg,1
337,Mi a táblák jelentése? A víziút táblákkal jelölt részén,rendellenes vízmozgásokra kell számítani!,mindkét irányú megfordulás megengedett.,fordítóhely.,teszt-0308.jpg,3
338,Mit jelentenek a táblák?,"Az elért út azon víziút mellékvíziútjának tekintendõ, amelyen a hajó halad.","Az út, amelyen a hajó halad, az elért vízi út mellékvíziútjának tekintendõ.",Betorkolló vízfolyás/vízfolyások.,xxx-3641.jpg,1
339,Mit jelent a képen látható 2-es számú tábla?,"Az elért út azon víziút mellékvíziútjának tekintendõ, amelyen a hajó halad.",Az út amelyen a hajó halad az elért víziút mellékágának tekintendõ.,"A mellékágba behajózni csak akkor szabad, ha az ott hajózó hajó nem kényszerül menetirányának és/vagy sebességének megváltoztatására.",teszt-0316.jpg,1
340,Mit jelent a képen látható 2-es számú tábla?,"Az elért út azon víziút mellékvíziútjának tekintendõ, amelyen a hajó halad.",Az út amelyen a hajó halad az elért víziút mellékágának tekintendõ.,"A mellékágba behajózni csak akkor szabad, ha az ott hajózó hajó nem kényszerül menetirányának és/vagy sebességének megváltoztatására.",teszt-0317.jpg,1
341,Mit jelentenek a táblák?,"Az elért út azon víziút mellékvíziútjának tekintendõ, amelyen a hajó halad.","Az út, amelyen a hajó halad, az elért vízi út mellékvíziútjának tekintendõ.",Betorkolló vízfolyás/vízfolyások.,teszt-0313.jpg,2
342,Mi a parton látható tábla jelentése?,Az elért víziút a követett víziút mellékágának tekintendõ.,Az út amelyen a hajó hajad az elért víziút fõágának tekintendõ.,"Az út, amelyen a hajó halad, az elért víziút mellékvíziútjának tekintendõ.",teszt-0323.jpg,3
343,Mit jelent a 2-es számú tábla?,A korábbi útiránytartási kötelezettség megerõsítését jelöli.,A korábbi útiránytartási kötelezettség végét jelzi.,Az ellentétes útiránytartási kötelezettség kezdetét jelzi.,teszt-0326.jpg,2
344,Mit jelent a 2-es számmal jelzett tábla?,A korábban elrendelt sebességkorlátozás ismételt megerõsítését jelzi.,A korábbi sebességkorlátozás végét jelzi.,Az ajánlott hajózási irányt jelzi.,teszt-0334.jpg,2
345,Mit jelent a tábla?,"Tilalom vagy az egyirányú közlekedés feloldása, illetve a korlátozás vége.",Iránytartási kötelezettség kezdete.,Ajánlott haladási irány.,teszt-0335.jpg,1
346,"Olyan kikötõbõl, mellékvíziútból, csatornából kíván kihajózni, ahol jelzõállomás mûködik. Közeledve a kijárat felé mit jelent hajózási jelzésként a parton látható állandó fehér fény?","Elõl akadály (kihajózást tiltó jelzés), az állandó fehér fénynél (elõtte) kötelezõ a megállás!",Az egy fehér fény egyirányú hajózást engedélyez!,"A kihajózás tilos, a vörös fényig lehet hajózni!",teszt-0338.jpg,1
347,Közeledve a zsiliphez mit jelent a parton észlelt állandó fehér fény?,"Figyelem, csak a vörös fényig hajózhat!","Akadály (a zsilipbe való behajózás tilos), az állandó fehér fénynél (elõtte) kötelezõ a megállás!","A zsilip üzemen kívül, a duzzasztómû nyílásán való áthaladás szabad!",teszt-0339.jpg,2
348,"A víziút olyan szakaszához közeledik, ahol vízi munkavégzés miatt az érintett szakaszon való áthaladást jelzõállomás irányítja. Mit jelent az állandó fehér fény?",Az állandó fehér fény a munkavégzés által érintett területen az ellentétes irányból közeledõ hajók várható érkezésére utal.,"Figyelem, csak a jelzõállomás vörös-fehér-vörös táblájáig lehet hajózni!","Akadály (a jelzõállomás az áthaladást tiltja), az állandó fehér fénynél (elõtte) kötelezõ a megállás!",xxx-3644.jpg,3
